course_skill,best_esco,score
wind energy,wind energy,1.0
history,history,1.0
data mining,data mining,1.0
healthcare administration,healthcare administration,1.0
health psychology,health psychology,1.0
data quality assessment,data quality assessment,1.0
health education,health education,1.0
data science,data science,1.0
data storage,data storage,1.0
management consulting,management consulting,1.0
data warehouse,data warehouse,1.0
manufacturing processes,manufacturing processes,1.0
asset management,asset management,1.0
market analysis,market analysis,1.0
database (dbms),database,1.0
market research,market research,1.0
marketing analytics,marketing analytics,1.0
marketing mix,marketing mix,1.0
graphic design,graphic design,1.0
mathematics,mathematics,1.0
grammar,grammar,1.0
matlab,MATLAB,1.0
solar energy,solar energy,1.0
pricing strategies,pricing strategies,1.0
mergers and acquisitions (m&a),mergers and acquisitions,1.0
microeconomics,microeconomics,1.0
renewable energy,renewable energy,1.0
software metrics,software metrics,1.0
reproductive health,reproductive health,1.0
communication,communication,1.0
project management,project management,1.0
research design,research design,1.0
human anatomy,human anatomy,1.0
semantics,semantics,1.0
strategic planning,strategic planning,1.0
quantitative analysis,quantitative analysis,1.0
international law,international law,1.0
crisis intervention,crisis intervention,1.0
statistics,statistics,1.0
contract law,contract law,1.0
content marketing strategy,content marketing strategy,1.0
information extraction,information extraction,1.0
lean manufacturing,lean manufacturing,1.0
public relations,public relations,1.0
public health,public health,1.0
customer service,customer service,1.0
legal research,legal research,1.0
linguistics,linguistics,1.0
psychology,psychology,1.0
computer science,computer science,1.0
computer programming,computer programming,1.0
psychiatry,psychiatry,1.0
psychiatric disorders,psychiatric disorders,1.0
computer forensics,computer forensics,1.0
web services,web services,1.0
logistics,logistics,1.0
competition law,competition law,1.0
machine learning,machine learning,1.0
algorithms,algorithms,1.0
data ethics,data ethics,1.0
depreciation,depreciation,1.0
javascript,JavaScript,1.0
business communication,business communication,1.0
fraud detection,fraud detection,1.0
politics,politics,1.0
business intelligence,business intelligence,1.0
typography,typography,1.0
policy analysis,policy analysis,1.0
blockchain,blockchain,1.0
business analytics,business analytics,1.0
business analysis,business analysis,1.0
embedded systems,embedded systems,1.0
accounting,accounting,1.0
natural language processing,natural language processing,1.0
social justice,social justice,1.0
personal development,personal development,1.0
pp&e accounting,accounting,1.0
ethics,ethics,1.0
financial markets,financial markets,1.0
economics,economics,1.0
financial management,financial management,1.0
financial analysis,financial analysis,1.0
risk identification,risk identification,1.0
neurology,neurology,1.0
risk management,risk management,1.0
biology,biology,1.0
blockchain platforms,blockchain platforms,1.0
devops,DevOps,1.0
photography,photography,1.0
design thinking,design thinking,1.0
mobile marketing,mobile marketing,1.0
smart contract,smart contract,1.0
pedagogy,pedagogy,1.0
