course_skill,best_esco,score
geometry,geometry,1.0
marketing mix,marketing mix,1.0
social network analysis,social network analysis,1.0
typography,typography,1.0
accounting,accounting,1.0
business communication,business communication,1.0
quantitative analysis,quantitative analysis,1.0
data ethics,data ethics,1.0
asset management,asset management,1.0
research design,research design,1.0
marketing analytics,marketing analytics,1.0
pp&e accounting,accounting,0.974
social media marketing,apply social media marketing,0.955
intellectual property,intellectual property law,0.954
classroom management,perform classroom management,0.953
key performance indicators,track key performance indicators,0.941
conflict management,apply conflict management,0.94
marketing strategy,plan marketing strategy,0.94
email marketing,execute email marketing,0.938
supply chain,supply chain management,0.934
public relations,perform public relations,0.934
brand marketing,brand marketing techniques,0.926
business case,develop business case,0.924
control systems,design control systems,0.921
big data,analyse big data,0.921
brand management,supervise brand management,0.921
cash flow,handle cash flow,0.92
risk analysis,perform risk analysis,0.919
disaster recovery plans,manage disaster recovery plans,0.916
product management,plan product management,0.914
forensic accounting,perform forensic accounting,0.912
mobile marketing,conduct mobile marketing,0.911
market research,perform market research,0.91
research and development (r&d),industrial research and development,0.91
change management,apply change management,0.909
copywriting,perform copywriting,0.908
continuous improvement,continuous improvement philosophies,0.908
personality development,personality development theories,0.907
data mining,data mining methods,0.904
teaching strategies,apply teaching strategies,0.903
data cleansing,perform data cleansing,0.902
engineering design,approve engineering design,0.902
relational database,database,0.902
data analysis,perform data analysis,0.9
competition,competition law,0.899
content marketing strategy,content marketing strategy,0.898
computer graphics (cg),computer graphics,0.897
multimedia,multimedia systems,0.896
contract law,contract law,0.895
marketing plan,execute marketing plan,0.895
strategic planning,implement strategic planning,0.894
business analysis,perform business analysis,0.893
brand identity,define brand identity,0.893
active listening,listen actively,0.893
dei strategic planning,implement strategic planning,0.892
manufacturing processes,plan manufacturing processes,0.889
it asset management,asset management,0.889
decision-making,participatory decision-making,0.886
data science,data science,0.886
epipolar geometry,geometry,0.882
confidence,show confidence,0.882
employment,employment law,0.881
pronunciation,pronunciation techniques,0.88
customer experience,manage the customer experience,0.879
psychiatric disorders,psychiatric disorders,0.878
mechanical engineering,principles of mechanical engineering,0.876
nosql and big data,analyse big data,0.87
customer relationship management (crm),customer relationship management,0.87
advertising,advertising techniques,0.868
generally accepted accounting principles,national generally accepted accounting principles,0.863
financial risk,manage financial risk,0.862
quantitative research,conduct quantitative research,0.859
business strategy,business strategy concepts,0.856
qualitative research,conduct qualitative research,0.855
hardware,hardware industry,0.853
cloud asset management,asset management,0.852
human resources (hr),manage human resources,0.85
money,count money,0.849
teamwork,teamwork principles,0.848
firmware,design firmware,0.848
environmental policy,environmental policy,0.847
ux design principles,design principles,0.846
philosophy,teach philosophy,0.843
smart contracts,implement smart contracts,0.842
warehouse management,use a warehouse management system,0.84
sustainability,promote sustainability,0.839
dentistry,dentistry science,0.838
data analysis with r,perform data analysis,0.837
environmental protection,inform customers environmental protection,0.836
tiktok advertising,advertising techniques,0.836
cost–benefit analysis,provide cost benefit analysis reports,0.834
intercultural communication,teach intercultural communication methods,0.833
manufacturing process,manufacturing processes,0.832
database (dbms),maintain freelance database,0.832
team building,build team spirit,0.831
business model,analyse business model,0.831
clinical trials,assist in clinical trials,0.83
logistics,manage logistics,0.829
intellectual property integration,intellectual property law,0.827
balance sheet,perform balance sheet operations,0.827
content marketing,content marketing strategy,0.825
financial engineering,financial engineering,0.824
marketing channel,channel marketing,0.821
deep learning,deep learning,0.82
environmental impact assessment,assess environmental impact,0.818
history,teach history,0.815
social media marketing strategy,apply social media marketing,0.813
business,business processes,0.811
management accounting,accounting,0.81
improvisation,perform improvisation,0.81
applied aerodynamics,aerodynamics,0.809
debt,debt systems,0.808
customer engagement,apply customer engagement strategy,0.808
social network,social network analysis,0.808
logic,logic,0.808
confidence interval,show confidence,0.807
network analysis,social network analysis,0.806
breathing techniques,breathing techniques,0.806
sel in curriculum,curriculum objectives,0.804
international relations,build international relations,0.803
risk assessment,draw up risk assessment,0.803
financial markets,financial markets,0.803
credit rating,advise on credit rating,0.802
education,education law,0.802
creating financial statements,prepare financial statements,0.801
privacy,maintain privacy,0.801
market analysis,market research,0.801
graphic design,graphic design,0.8
data cleansing (pembersihan data),perform data cleansing,0.799
business case analysis,develop business case,0.799
pricing strategies,pricing strategies,0.799
motivate employees,motivate employees,0.798
cash flow analysis,handle cash flow,0.798
jazz improvisation,perform improvisation,0.797
customer experience (cx) design,manage the customer experience,0.796
version control systems,design control systems,0.792
monte carlo method,Monte Carlo simulation,0.792
psychotherapy,psychotherapy principles,0.79
email marketing analytics,marketing analytics,0.789
disaster recovery,manage disaster recovery plans,0.788
audio editing,audio editing software,0.788
competition law,competition law,0.787
data analysis process,perform data analysis,0.787
supervised learning,machine learning,0.785
supply chain planning,supply chain management,0.785
quadrotor control systems,design control systems,0.784
sensors,test sensors,0.784
accounting analysis,accounting,0.783
human resources management,manage human resources,0.783
supply chain strategy,supply chain management,0.782
read legal documents,revise legal documents,0.781
statistical analysis,statistical analysis system software,0.78
video game,video-games trends,0.779
singing,practise singing,0.776
project management,perform project management,0.775
big data fluency,analyse big data,0.775
planning,plan,0.775
cost-benefit analysis,provide cost benefit analysis reports,0.774
digital supply chain,supply chain management,0.774
database servers,maintain freelance database,0.774
blockchain technology implementation,develop blockchain technology,0.772
artificial neural network,artificial neural networks,0.772
materials,test materials,0.771
email marketing strategy,execute email marketing,0.771
knowledge of human behavior,apply knowledge of human behaviour,0.77
electrical engineering,electrical engineering,0.769
human anatomy,human anatomy,0.768
agile product management,plan product management,0.768
quadrotor hardware components,hardware components,0.767
insurance,insurance law,0.767
business accounting,accounting,0.767
fundraising,manage fundraising activities,0.767
technical communication,apply technical communication skills,0.766
business intelligence (bi),business intelligence,0.766
group decision-making,participatory decision-making,0.765
communication skills,apply technical communication skills,0.764
renewable energy,renewable energy,0.763
cloud product management,plan product management,0.761
markov chain monte carlo (mcmc),Monte Carlo simulation,0.76
nosql databases,search databases,0.759
discounted cash flow,handle cash flow,0.758
process assessment,assessment processes,0.758
renewable energy techologies,renewable energy,0.757
audit,arrange audit,0.757
null character,assess character,0.757
generators,set up generators,0.757
ui development,development delays,0.755
game theory,game theory,0.755
development,development delays,0.755
networking hardware,ICT networking hardware,0.754
health informatics,health informatics,0.752
advocacy,supervise advocacy work,0.752
federal tax returns,prepare tax returns forms,0.752
financial accounting,accounting,0.751
graph database,maintain freelance database,0.751
credit risk,apply credit risk policy,0.751
business process,create business process models,0.75
relational database migration,database,0.75
flash loans,analyse loans,0.75
marketing mix optimization,marketing mix,0.749
mixed methods market research,perform market research,0.749
oltp databases,search databases,0.748
quality,manage quality,0.748
business law,business law,0.746
ethical decision-making,participatory decision-making,0.745
performance advertising,advertising techniques,0.745
public speaking,teach public speaking principles,0.744
financial statement,financial statements,0.744
relational database transactions,database,0.744
nursing,nursing principles,0.743
english language teaching,language teaching methods,0.742
analyze financial statements,prepare financial statements,0.74
workflow,manage workflow processes,0.74
learning,use learning strategies,0.74
food safety,develop food safety programmes,0.739
mergers and acquisitions (m&a),mergers and acquisitions,0.739
api requests,prioritise requests,0.739
accounting software,accounting,0.739
pricing,pricing strategies,0.738
cash flow statement,handle cash flow,0.738
analytics,data analytics,0.738
troubleshooting,perform ICT troubleshooting,0.737
supply chain risk management,supply chain management,0.737
azure logic apps,logic,0.736
biostatistics,biostatistics,0.736
unsupervised machine learning,machine learning,0.736
informatics,medical informatics,0.735
business competition,competition law,0.735
software,industrial software,0.735
regulations,communicate regulations,0.734
visualization (computer graphics),computer graphics,0.734
relational database management syste (rdbms),database,0.734
database indexing,maintain freelance database,0.734
probability theory,probability theory,0.732
linguistics,forensic linguistics,0.732
software product management,plan product management,0.731
personal development,personal development,0.73
exploratory data analysis,perform data analysis,0.73
qualitative and quantitative research,conduct quantitative research,0.73
feedback loops,manage feedback,0.729
marketing content development,evaluate marketing content,0.728
anatomy,dental anatomy,0.727
nlp pipelines,repair pipelines,0.727
mathematical induction,mathematical modelling,0.727
digital marketing,plan digital marketing,0.727
financial management,financial management,0.727
entrepreneurship,entrepreneurship,0.726
lesson plan,advise on lesson plans,0.726
processing payments,process payments,0.726
cloud database,maintain freelance database,0.726
public health,address public health issues,0.725
exploratory data analysis (eda),perform data analysis,0.725
pharmacology,pharmacology,0.724
sql databases in azure,search databases,0.724
risk management,apply risk management processes,0.724
gst technical,technical terminology,0.721
social media,social media marketing techniques,0.721
genetics,medical genetics,0.721
deep learning fluency,deep learning,0.721
image formation,image formation,0.72
asset accounting,accounting,0.72
training,organise training,0.72
business intelligence,business intelligence,0.719
data science strategy,data science,0.719
sample testing,perform sample testing,0.719
accessibility,develop strategies for accessibility,0.718
manufacturing engineer,manufacturing processes,0.718
brand and product management,plan product management,0.718
helpdesk,handle helpdesk problems,0.717
pharmacokinetics,pharmacokinetics,0.717
customer service,monitor customer service,0.717
solar energy,solar energy,0.714
computer-aided engineering (cae),use computer-aided engineering systems,0.713
azure pipelines,repair pipelines,0.713
machine learning,machine learning,0.713
health education,provide health education,0.712
product backlogs,manage backlogs,0.712
ethics,data ethics,0.712
strategic thinking,apply strategic thinking,0.712
database (db) design,maintain freelance database,0.711
diets,composition of diets,0.711
database scalability,maintain freelance database,0.711
agile supply chain planning,supply chain management,0.71
competence (human resources),manage human resources,0.71
business kpis,business processes,0.71
using active listening with teams,listen actively,0.709
logic gate,logic,0.707
photography,commercial photography,0.707
ticketing systems,monitor ticketing,0.707
website wireframe,manage website,0.706
hardware design,hardware industry,0.705
product design principles,design principles,0.705
monte carlo localization,Monte Carlo simulation,0.704
cloud resource allocation,plan resource allocation,0.704
api development,development delays,0.704
human resources best practices,manage human resources,0.703
writing,writing techniques,0.703
communication,communication principles,0.702
data cleansing and exploration,perform data cleansing,0.702
video game design,video-games trends,0.701
inventory,inventory management rules,0.7
discounted cash flow analysis,handle cash flow,0.7
visual communication,manage visual communications,0.699
focus group,interview focus groups,0.698
azure ml pipelines,repair pipelines,0.698
emergency,manage emergency procedures,0.698
engineering,aerospace engineering,0.697
technology,computer technology,0.696
banking,banking activities,0.696
veterinary,handle veterinary emergencies,0.694
supply chain sourcing,supply chain management,0.694
computer-aided manufaturing,use computer-aided translation,0.694
networking,ICT networking hardware,0.693
resource leaks,perform resource planning,0.692
risk,risk identification,0.691
data analysis interview,perform data analysis,0.691
confidentiality,educate on data confidentiality,0.691
ai communication,communication principles,0.691
human rights and allyship,promote human rights,0.69
product management basics,plan product management,0.69
manufacturing process management,manufacturing processes,0.69
